feature_set,model,seed,curated,accuracy,weighted_f1,macro_f1,weighted_auc,auc_Blackhole Attack,auc_Flooding Attack,auc_Normal Traffic,auc_Sybil Attack,auc_Wormhole Attack,best_params
summary_plus_images,logreg,42,False,0.6379460875259194,0.6215310649943894,0.6113691697370823,0.8983868888351003,0.8908265553896628,0.8896794509673022,0.951987869332654,0.946370149427322,0.8144804567688302,{'C': 10.0}
summary_plus_images,logreg,7,False,0.6379460875259194,0.6215310649943894,0.6113691697370823,0.8983868888351003,0.8908265553896628,0.8896794509673022,0.951987869332654,0.946370149427322,0.8144804567688302,{'C': 10.0}
summary_plus_images,logreg,2024,False,0.6379460875259194,0.6215310649943894,0.6113691697370823,0.8983868888351003,0.8908265553896628,0.8896794509673022,0.951987869332654,0.946370149427322,0.8144804567688302,{'C': 10.0}
summary_plus_images,rf,42,False,0.7767106842737095,0.7770596091428277,0.7801315354087583,0.9515489268147882,0.9241887760098312,0.963881205656719,0.9846835731872985,0.9849461846532469,0.905546978922275,"{'n_estimators': 300, 'max_depth': None}"
summary_plus_images,rf,7,False,0.7763287133035032,0.7765468902104918,0.7796709556557879,0.9513141339836745,0.9237755765395896,0.9638625124043473,0.9845953171874117,0.9850188474394835,0.9048966109105615,"{'n_estimators': 300, 'max_depth': None}"
summary_plus_images,rf,2024,False,0.7775837607770381,0.7779455616354587,0.7811025333152926,0.9517166234787698,0.9244357548707475,0.9642611295171227,0.9847040474472181,0.9852256569080037,0.9055193893251914,"{'n_estimators': 300, 'max_depth': None}"
summary_plus_images,svm,42,False,0.37334933973589435,0.3550951331497446,0.3391273443812383,0.8175125215071538,0.7929243439937946,0.7634635126297001,0.895633791107715,0.8889555011478593,0.7386876313087953,"{'C': 10.0, 'gamma': 'auto'}"
summary_plus_images,svm,7,False,0.36538251664302085,0.3440314323502573,0.3287028462141114,0.7990160127994846,0.7907126699544382,0.7065959558841882,0.890400039621894,0.8487513565460918,0.7396311742517284,"{'C': 10.0, 'gamma': 'auto'}"
summary_plus_images,svm,2024,False,0.39457601222307104,0.37132959736425447,0.3542773528997317,0.8137043431663553,0.7927044469642863,0.7401291435435716,0.906098375502349,0.8789924752330655,0.7374128004276175,"{'C': 10.0, 'gamma': 'auto'}"
summary_plus_images,rf,42,True,0.8057404780093855,0.805820170721683,0.8088229205517429,0.9629588860458327,0.9388334468785846,0.9777364024017706,0.9911897888719081,0.991700972591676,0.9210857644789221,"{'n_estimators': 300, 'max_depth': 20}"
