w,bin,bin_lo,bin_hi,majority_class,n_windows,mean_raw_all_three,mean_znorm_all_three,threshold,detection_rate
50,"(0.75,1.00]",0.75,1.0,Normal Traffic,78,2.234452458346744,9.349921747978566,1.0037634212283881,1.0
50,"(0.75,1.00]",0.75,1.0,Sybil Attack,1294,2.1968196809453286,8.245727841876192,1.0037634212283881,1.0
50,"(0.75,1.00]",0.75,1.0,Wormhole Attack,1579,2.0162495463686745,7.866543893318036,1.0037634212283881,1.0
100,0,0.0,0.0,all,10,1.0590115811804477,-0.32974067120112244,-0.1223987123357966,0.0
100,0,0.0,0.0,Normal Traffic,10,1.0590115811804477,-0.32974067120112244,-0.1223987123357966,0.0
100,"(0.00,0.25]",0.0,0.25,all,290,1.2636097132101058,0.3047338677147765,-0.1223987123357966,0.5
100,"(0.00,0.25]",0.0,0.25,Normal Traffic,290,1.2636097132101058,0.3047338677147765,-0.1223987123357966,0.5
100,"(0.25,0.50]",0.25,0.5,all,130,1.5721355679673286,1.7166890676364668,-0.1223987123357966,0.8461538461538461
100,"(0.25,0.50]",0.25,0.5,Normal Traffic,130,1.5721355679673286,1.7166890676364668,-0.1223987123357966,0.8461538461538461
100,"(0.50,0.75]",0.5,0.75,all,488,3.0164819688795035,9.792383332427823,-0.1223987123357966,0.9590163934426229
100,"(0.50,0.75]",0.5,0.75,Blackhole Attack,130,2.1494862314219434,4.752686897735515,-0.1223987123357966,0.8461538461538461
100,"(0.50,0.75]",0.5,0.75,Normal Traffic,312,3.329570021156046,11.60352654101125,-0.1223987123357966,1.0
100,"(0.50,0.75]",0.5,0.75,Sybil Attack,14,3.312650431466238,11.826959783220373,-0.1223987123357966,1.0
100,"(0.50,0.75]",0.5,0.75,Wormhole Attack,30,3.360113124865178,11.718929044300271,-0.1223987123357966,1.0
100,"(0.75,1.00]",0.75,1.0,all,2742,2.899629088542481,9.248341118787529,-0.1223987123357966,0.9890590809628009
100,"(0.75,1.00]",0.75,1.0,Blackhole Attack,794,2.9813159787701813,9.733911442962443,-0.1223987123357966,0.9622166246851386
100,"(0.75,1.00]",0.75,1.0,Flooding Attack,367,2.4022041143617168,6.70279305656544,-0.1223987123357966,1.0
100,"(0.75,1.00]",0.75,1.0,Normal Traffic,114,3.375023920449647,11.9865155342696,-0.1223987123357966,1.0
100,"(0.75,1.00]",0.75,1.0,Sybil Attack,624,2.945753225887573,8.867313400874577,-0.1223987123357966,1.0
100,"(0.75,1.00]",0.75,1.0,Wormhole Attack,843,2.9408142630891065,9.810954065470058,-0.1223987123357966,1.0
200,0,0.0,0.0,all,0,,,-1.4825624362199954,
200,"(0.00,0.25]",0.0,0.25,all,130,1.4510240970509745,0.033905669866027686,-1.4825624362199954,0.4846153846153846
200,"(0.00,0.25]",0.0,0.25,Normal Traffic,130,1.4510240970509745,0.033905669866027686,-1.4825624362199954,0.4846153846153846
200,"(0.25,0.50]",0.25,0.5,all,70,2.022176824920795,2.21665516092304,-1.4825624362199954,1.0
200,"(0.25,0.50]",0.25,0.5,Normal Traffic,70,2.022176824920795,2.21665516092304,-1.4825624362199954,1.0
200,"(0.50,0.75]",0.5,0.75,all,176,3.584958929823797,9.082993832891246,-1.4825624362199954,1.0
200,"(0.50,0.75]",0.5,0.75,Blackhole Attack,61,2.0112709090354453,1.9715670642312637,-1.4825624362199954,1.0
200,"(0.50,0.75]",0.5,0.75,Normal Traffic,114,4.4163532889814885,12.840171792075079,-1.4825624362199954,1.0
200,"(0.75,1.00]",0.75,1.0,all,1444,3.9280519401592184,10.660005704986379,-1.4825624362199954,1.0
200,"(0.75,1.00]",0.75,1.0,Blackhole Attack,409,4.123647062175416,11.461801047659966,-1.4825624362199954,1.0
200,"(0.75,1.00]",0.75,1.0,Flooding Attack,159,2.814526101262309,6.427592788122192,-1.4825624362199954,1.0
200,"(0.75,1.00]",0.75,1.0,Normal Traffic,157,4.6340804385407965,13.775978910798791,-1.4825624362199954,1.0
200,"(0.75,1.00]",0.75,1.0,Sybil Attack,288,3.7602306246256187,9.220130269568255,-1.4825624362199954,1.0
200,"(0.75,1.00]",0.75,1.0,Wormhole Attack,431,4.008187132984612,11.287605915463839,-1.4825624362199954,1.0
