w,arm,subset,scoring,mean,std,ci_lo,ci_hi,n_runs
200,shuffled,network_only,raw,0.5217489474220126,0.08125242285328688,0.4785936910609046,0.563531493556586,10
200,shuffled,network_only,znorm,0.5217489474220126,0.08125242285328688,0.4785936910609046,0.563531493556586,10
200,shuffled,physical_only,raw,0.6219625842527606,0.06784761739515321,0.5808962469925585,0.6595369586866919,10
200,shuffled,physical_only,znorm,0.6219625842527606,0.06784761739515321,0.5808962469925585,0.6595369586866919,10
200,shuffled,c2_network,raw,0.501574258798111,0.05624310722299864,0.459039894748934,0.5453212874546777,10
200,shuffled,c2_network,znorm,0.5140115073126407,0.06507558712121084,0.4696989702955833,0.5574076335127375,10
200,shuffled,c2_physical,raw,0.5820182901894189,0.05083291817354255,0.5429789907207787,0.6222541255129909,10
200,shuffled,c2_physical,znorm,0.6116171224042882,0.059349883032009706,0.5718770343892688,0.6505656568372549,10
200,shuffled,network_physical,raw,0.6214497793305027,0.0662157387394233,0.5800046519958791,0.6593795018835291,10
200,shuffled,network_physical,znorm,0.6072775105905306,0.06793815468705285,0.5646502610570148,0.6481507171519294,10
200,shuffled,all_three,raw,0.58104337968347,0.04832682415874905,0.5423159668247094,0.6206771766731191,10
200,shuffled,all_three,znorm,0.5912564066522242,0.056879864536321295,0.5489937607573965,0.6313024005385083,10
