row_idx,c2_scaler_s,c2_rips_s,c2_slice_s,c2_w2_s,c2_total_s,network_scaler_s,network_rips_s,network_slice_s,network_w2_s,network_total_s,physical_scaler_s,physical_rips_s,physical_slice_s,physical_w2_s,physical_total_s,total_s
10156,0.0008168330000017932,3.0543870829999946,0.00016783299999900692,0.015917625000000157,3.0712893739999956,0.0008292500000024461,0.054139165999998795,0.00011925000000445607,0.024676833999997427,0.07976450000000312,0.0007167919999986339,0.396438124999996,0.00015224999999929878,6.774999999947795e-05,0.3973749169999934,3.548428790999992
10254,0.0007889580000011165,2.784632207999998,0.00015875000000420414,0.020221165999998902,2.805801082000002,0.000825958000000071,0.05481787500000479,0.000128541000002258,0.020732082999998624,0.07650445700000574,0.000740624999998829,0.41032970899999555,0.0001299170000024219,6.941599999521486e-05,0.411269666999992,3.293575206
11107,0.0008019169999968767,3.128683124999995,0.0001784589999971331,0.013498416000004454,3.1431619169999934,0.0008339580000011892,0.05333283400000255,0.0001011250000004793,0.04092899999999844,0.09519691700000266,0.0006992080000003398,0.4056707920000022,0.00016566700000453238,0.013676874999994482,0.4202125420000016,3.6585713759999976
11578,0.0007807080000006295,2.9784764999999993,0.00019545800000031477,0.019499041999999633,2.998951708,0.0008155840000014791,0.05241791699999965,9.716600000331255e-05,0.029685999999998103,0.08301666700000254,0.0006892080000042711,0.42095354100000293,0.00016283299999741985,7.12919999941164e-05,0.42187687399999874,3.503845249000001
11655,0.0008270829999972307,3.1969165830000037,0.00014758300000039526,0.020472542000007365,3.2183637910000087,0.0008251250000057553,0.05358725000000675,0.00013466699999753473,0.02579462500000318,0.08034166700001322,0.000783542000007742,0.4004117079999929,0.00014987500000529508,0.006721124999998551,0.4080662500000045,3.7067717080000264
11888,0.0007898750000094878,3.132527665999987,0.00017166599999995924,0.013636417000000733,3.1471256239999974,0.000828749999996603,0.055336374999995996,0.00013912499998980365,0.02483662499999184,0.08114087499997424,0.0007666249999971342,0.4110128749999973,0.00015241699999535285,0.006177750000006199,0.41810966699999597,3.6463761659999676
12289,0.0007835830000004762,3.1888048750000024,0.00017837500000439377,0.0190914169999985,3.208858250000006,0.0008240000000085956,0.05462433400001032,0.00011233300000412783,0.017068500000007703,0.07262916700003075,0.0007559590000028038,0.3997450829999991,0.0001581670000092572,0.006866584000007947,0.4075257930000191,3.6890132100000557
13358,0.0007870000000025357,3.393733916000002,0.00015058399999645644,0.019930041999998593,3.4146015419999998,0.0008435000000019954,0.05839433299999541,0.00010974999999291413,0.026936542000001396,0.08628412499999172,0.0007768749999996771,0.43694495900000163,0.00013658400000338133,7.337499999948704e-05,0.4379317930000042,3.9388174599999957
13371,0.0008577079999980697,3.0183692500000063,0.0001800419999966607,0.012168708999993783,3.031575708999995,0.0008342499999969277,0.05467050000000029,0.00010391600000048129,0.03275987500001065,0.08836854100000835,0.0007360419999997703,0.388511084000001,0.0001524999999986676,0.008960625000000277,0.3983602509999997,3.518304501000003
14016,0.0007711249999999836,3.1115553749999947,0.0001707910000021684,0.01198575000000801,3.124483041000005,0.0008327500000007149,0.05197395800000493,9.850000000710679e-05,0.035855624999996394,0.08876083300000914,0.000695374999992282,0.4052052919999909,0.00016654200000232322,7.23750000020118e-05,0.4061395839999875,3.6193834580000015
14887,0.0008265419999986534,3.1730490409999987,0.00017420800000422787,0.019719875000006937,3.1937696660000086,0.0008109999999987849,0.052484707999994384,0.00010808400000428264,0.023754959000001463,0.07715875099999892,0.0007470840000110002,0.41389654199998915,0.00017187500000659384,0.006954292000003193,0.42176979300000994,3.6926982100000174
14944,0.0008432089999956816,2.9261157919999903,0.00019116599999335904,0.019882917000003886,2.947033083999983,0.0008509999999972706,0.05489408399999718,0.0001041659999998501,0.02361349999999618,0.07946274999999048,0.0007009579999959215,0.4043839999999932,0.00017445900000723213,0.017510083000004784,0.42276950000000113,3.449265333999975
15563,0.000835249999994403,2.901868042000004,0.00018758299999888095,0.019909374999997453,2.9228002499999945,0.0008541659999963258,0.054386750000006145,0.00011758400000871916,0.019118625000004386,0.07447712500001558,0.0007534579999912694,0.4055550829999959,0.00016712499999016472,7.508299999869905e-05,0.406550748999976,3.403828123999986
15709,0.0008364170000021431,2.9897324579999918,0.00024904099998934726,0.02334308300000032,3.0141609989999836,0.0009593329999972866,0.0680198750000045,0.00023500000000353793,0.030391458000011085,0.09960566600001641,0.0014571660000086695,0.5595616250000006,0.00016850000000090404,0.007115166999994926,0.5683024580000051,3.682069123000005
16710,0.0010459580000059532,3.0668944170000003,0.0001890420000023596,0.020162041999995495,3.088291459000004,0.0008535829999942735,0.05480479199999877,0.0001027080000000069,0.019409042000006593,0.07517012499999964,0.0008795840000033195,0.4182665419999978,0.00016745799999284827,0.0068841249999991305,0.4261977089999931,3.589659292999997
17126,0.0008384169999970936,3.2469968749999936,0.0001987499999955844,0.020647874999994542,3.268681916999981,0.0008495830000043725,0.05095841699998971,0.00012933399999326411,0.022412916999996924,0.07435025099998427,0.000774208000009935,0.5179856670000049,0.00034800000000245745,0.009159083000000123,0.5282669580000174,3.8712991259999825
17775,0.0015883749999971997,2.993202249999996,0.00018829199999004231,0.01981808399999352,3.0147970009999767,0.0008477500000054761,0.05318766599999947,0.00010241599999005757,0.024342625000002727,0.07848045699999773,0.0007074580000079322,0.4205035840000022,0.00017229200000201672,7.429100000422295e-05,0.4214576250000164,3.514735082999991
